Season,La Liga,Serie A,Ligue 1
1999-00,Salva Ballesta - Racing Santander - 27,Andriy Shevchenko - AC Milan - 24,Sonny Anderson - Lyon - 23
2000-01,Raúl - Real Madrid - 24,Hernán Crespo - Lazio - 26,Sonny Anderson - Lyon - 22
2001-02,Diego Tristán - Deportivo - 20,Trezeguet / Hübner - 24,Cissé / Pauleta - 22
2002-03,Roy Makaay - Deportivo - 29,Christian Vieri - Inter - 24,Shabani Nonda - Monaco - 26
2003-04,Ronaldo - Real Madrid - 24,Andriy Shevchenko - AC Milan - 24,Djibril Cissé - Auxerre - 26
2004-05,Forlán / Eto'o - 25,Cristiano Lucarelli - Livorno - 24,Alexander Frei - Rennes - 20
2005-06,Samuel Eto'o - Barcelona - 26,Luca Toni - Fiorentina - 31,Pauleta - PSG - 21
2006-07,Ruud van Nistelrooy - Real Madrid - 25,Francesco Totti - Roma - 26,Pauleta - PSG - 15
2007-08,Dani Güiza - Mallorca - 27,Alessandro Del Piero - Juventus - 21,Karim Benzema - Lyon - 20
2008-09,Diego Forlán - Atlético Madrid - 32,Zlatan Ibrahimović - Inter - 25,André-Pierre Gignac - Toulouse - 24
2009-10,Lionel Messi - Barcelona - 34,Antonio Di Natale - Udinese - 29,Mamadou Niang - Marseille - 18
2010-11,Cristiano Ronaldo - Real Madrid - 40,Antonio Di Natale - Udinese - 28,Moussa Sow - Lille - 25
2011-12,Lionel Messi - Barcelona - 50,Zlatan Ibrahimović - AC Milan - 28,Giroud / Nenê - 21
2012-13,Lionel Messi - Barcelona - 46,Edinson Cavani - Napoli - 29,Zlatan Ibrahimović - PSG - 30
2013-14,Cristiano Ronaldo - Real Madrid - 31,Ciro Immobile - Torino - 22,Zlatan Ibrahimović - PSG - 26
2014-15,Cristiano Ronaldo - Real Madrid - 48,Icardi / Luca Toni - 22,Alexandre Lacazette - Lyon - 27
2015-16,Luis Suárez - Barcelona - 40,Gonzalo Higuaín - Napoli - 36,Zlatan Ibrahimović - PSG - 38
2016-17,Lionel Messi - Barcelona - 37,Edin Džeko - Roma - 29,Edinson Cavani - PSG - 35
2017-18,Lionel Messi - Barcelona - 34,Icardi / Immobile - 29,Edinson Cavani - PSG - 28
2018-19,Lionel Messi - Barcelona - 36,Fabio Quagliarella - Sampdoria - 26,Kylian Mbappé - PSG - 33
2019-20,Lionel Messi - Barcelona - 25,Ciro Immobile - Lazio - 36,Ben Yedder / Mbappé - 18
2020-21,Lionel Messi - Barcelona - 30,Cristiano Ronaldo - Juventus - 29,Kylian Mbappé - PSG - 27
2021-22,Karim Benzema - Real Madrid - 27,Ciro Immobile - Lazio - 27,Kylian Mbappé - PSG - 28
2022-23,Robert Lewandowski - Barcelona - 23,Victor Osimhen - Napoli - 26,Kylian Mbappé - PSG - 29
2023-24,Artem Dovbyk - Girona - 24,Lautaro Martínez - Inter - 24,Kylian Mbappé - PSG - 27
2024-25,Kylian Mbappé - Real Madrid - 31,Mateo Retegui - Atalanta - 25,Ousmane Dembélé - PSG - 21
